reference_id	shortcitation	fullcitation
184467	Applequist 1959	Applequist, M. B. 1959. A study of soil and site factors affecting the growth and development of swamp blackgum and tupelo gum stands in southeastern Georgia. D.F. dissertation, Duke University, Durham, NC. 180 pp.
192558	Faircloth 1971	Faircloth, W. 1971. The vascular flora of central south Georgia. University microfilms. Ph.D. dissertation, University of Georgia, Athens.
194648	Van Kley and Hine 1998	Van Kley, J. E., and D. N. Hine. 1998. The wetland vegetation of Caddo Lake. Texas Journal of Science 50(4):267-290.
195972	Hoagland et al. 1996	Hoagland, B. W., L. R. Sorrels, and S. M. Glenn. 1996. Woody species composition of floodplain forests of the Little River, McCurtain and LeFlore counties, Oklahoma. Proceedings of the Oklahoma Academy of Science 76:23-26.
198905	Wharton et al. 1982	Wharton, C. H., W. M. Kitchens, E. C. Pendleton, and T. W. Sipe. 1982. The ecology of bottomland hardwood swamps of the Southeast: A community profile. U.S. Fish and Wildlife Service, Office of Biological Services. FWS/OBS-81/37. Washington, DC.
175855	Daubenmire and Daubenmire 1968	Daubenmire, R. F., and J. B. Daubenmire. 1968. Forest vegetation of eastern Washington and northern Idaho. Washington State University Agricultural Experiment Station Technical Bulletin No. 60. 104 pp.
195666	Henderson et al. 1992	Henderson, J. A., D. A. Peter, R. Lesher, and D. C. Shaw. 1992. Field guide to forested plant associations of the Mt. Baker-Snoqualmie National Forest. Technical Paper R6-ECOL-TP-028-91. USDA Forest Service, Pacific Northwest Region, Portland, OR. 196 pp.
178828	Costello 1944a	Costello, D. F. 1944a. Natural revegetation of abandoned plowed land in the mixed prairie association of northeastern Colorado. Ecology 25:312-326.
180682	Johnson and Niederhof 1941	Johnson, W. M., and C. H. Niederhof. 1941. Some relationships of plant cover to run-off, erosion, and infiltration on granitic soils. Journal of Forestry. 39:854-858.
182274	Johnson and Reid 1958	Johnson, W. M., and E. H. Reid. 1958. Herbage utilization on pine-bunchgrass ranges of Colorado. Journal of Forestry 56:647-651.
191390	Costello and Schwan 1946	Costello, D. F., and H. E. Schwan. 1946. Conditions and trends on ponderosa pine ranges in Colorado. USDA Forest Service Mimeograph. 33 pp.
200608	Swift 1974	Swift, R. L. 1974. Vegetation-site relations of ponderosa pine forest in the Front Range of central Colorado. Unpublished thesis, Colorado State University, Fort Collins. 121 pp.
198964	Hill 1986	Hill, S. R. 1986. An annotated checklist of the vascular flora of Assateague Island (Maryland and Virginia). Castanea 5:265-305.
659474	Largay and Sneddon 2008	Largay, E. F., and L. A. Sneddon. 2008. Vegetation classification and mapping at Saugus Iron Works National Historic Site. Technical Report NPS/NER/NRTR--2008/123. National Park Service, Philadelphia, PA. 111 pp.
671241	Largay and Sneddon 2017	Largay, E. F., and L. A. Sneddon. 2017. Vegetation mapping and classification of Boston Harbor Islands National Recreation Area. Technical Report NPS/NER/NRTR--2017/1529. National Park Service, Fort Collins, CO.
177561	Holland 1982	Holland, J. 1982. A floristic and vegetation analysis of the Newberry Mountains, Clark County, Nevada. Unpublished thesis, University of Nevada, Las Vegas. Reproduced in the Lake Mead Report Series by University of Nevada Cooperative National Park Resources Studies Unit, Las Vegas.
185258	Dale 1965	Dale, E. E. 1965. Final report on vegetation and microenvironments of Platt National Park. Report to the National Park Service.
187209	Barker and Jameson 1975	Barker, B. M., and W. C. Jameson. 1975. Platt National Park: environment and ecology. University of Oklahoma Press, Norman.
189198	Steinauer 1981	Steinauer, G. A. 1981. A classification of the Cercocarpus montanus, Quercus macrocarpa, Populus tremuloides, and Picea glauca habitat types of the Black Hills National Forest. Unpublished thesis, University of South Dakota, Brookings. 95 pp.
178732	Diamond et al. 1992	Diamond, D., B. Amos, T. Cook, R. Edwards, W. Elliot, R. Evans, and K. Kennedy. 1992. Endangered, threatened, and watchlist of natural communities of Texas. Texas Organization for Endangered Species. Austin, TX. 14 pp.
194804	Eidson pers. comm.	Eidson, Jim. Personal communication. The Nature Conservancy, Texas Program Office, San Antonio.
621225	Gustafson and Peterson 2007	Gustafson, D. J., and P. M. Peterson. 2007. Re-examination of Muhlenbergia capillaris, M. expansa and M. sericea (Poaceae: Muhlenbergiinae). Journal Botanical Research Institute of Texas 1(1):85-89.
712628	Brown 1982b	Brown, D. E. 1982b. Chihuahuan desertscrub. Desert Plants 4(1-4):169-179.
190603	Lamb 1975	Lamb, S. H. 1975. Woody plants of the Southwest: A field guide with descriptive text, drawings, range maps and photographs. The Sunstone Press, Santa Fe, NM.
193443	Windisch pers. comm.	Windisch, A. G. Personal communication. Ecologist, New Jersey Natural Heritage Program, Office of Lands Management, Trenton, NJ.
192928	Collins et al. 1984	Collins, E. I., R. W. Lichvar, and E. F. Evert. 1984. Description of the only known fen-palsa in the 48 contiguous United States. Arctic and Alpine Research 16:255-258.
188639	Slack 1977	Slack, N. G. 1977. Species diversity and community structure in bryophytes: New York State studies. New York State Museum, Bulletin 428, The University of the State of New York, The State of Education Department, Albany, NY.
645480	Fitzgerald 1989	Fitzgerald, B. T. 1989. Element stewardship abstract for NY mountain spruce-fir forest. Unpublished paper. The Nature Conservancy. 14 pp.
198235	Quarterman et al. 1972	Quarterman, E., B. H. Turner, and T. E. Hemmerly. 1972. Analysis of virgin mixed mesophytic forests in Savage Gulf, Tennessee. Bulletin of the Torrey Botanical Club 99:228-232.
830015	Cogan and Taylor 2014	Cogan, D., and J. E. Taylor. 2014. Manzanar National Historic Site: Vegetation classification and mapping project report. Natural Resource Technical Report NPS/MANZ/NRTR--2014/868. National Park Service, Fort Collins, CO. 170 pp.
180719	DeVelice et al. 1995	DeVelice, R. L., S. V. Cooper, J. T. McGarvey, J. Lichthardt, and P. S. Bourgeron. 1995. Plant communities of northeastern Montana: A first approximation. Montana Natural Heritage Program, Helena, MT. 116 pp.
830014	DiPaolo et al. 2015	DiPaolo, D. A., S. B. Smith, D. C. Odion, J. H. Ives, and D. A. Sarr. 2015. Vegetation classification and mapping: Lava Beds National Monument. Natural Resource Report NPS/LABE/NRR--2015/1098. National Park Service, Fort Collins, CO. 262 pp.
184520	Kleiner 1968	Kleiner, E. F. 1968. Comparative study of grasslands of Canyonlands National Park. Unpublished dissertation, University of Utah, Salt Lake City. 58 pp.
197003	Achuff et al. 1993	Achuff, P. L., W. S. Taylor, and L. J. Knapik. 1993. Chapter III-Vegetation. Pages 40-136 in: P. L. Achuff, W. S. Taylor, and L. J. Knapik. Ecological land classification of Yoho National Park, British Columbia. Report prepared for Yoho National Park, Canadian Parks Service, Environment Canada.
183474	Warnock 1974	Warnock, B. H. 1974. Wildflowers of the Guadalupe Mountains and the Sand Dune Country, Texas. Sul Ross State University, Alpine, TX.
178476	Lindsay and Bratton 1979b	Lindsay, M. M., and S. P. Bratton. 1979b. The vegetation of grassy balds and other high elevation disturbed areas in the Great Smoky Mountains National Park. Bulletin of the Torrey Botanical Club 106:264-275.
181436	Gersmehl 1971	Gersmehl, P. J. 1971. Factors involved in the persistence of Southern Appalachian treeless balds: An experimental study. Proceedings of the Association of American Geographers 3:56-61.
190664	Mark 1959	Mark, A. F. 1959. The flora of the grass balds and fields of the southern Appalachian Mountains. Castanea 24:1-21.
193830	NCNHP 1993	NCNHP [North Carolina Natural Heritage Program]. 1993. North Carolina Natural Heritage Program biennial protection plan. North Carolina Department of Environment, Health, and Natural Resources, Division of Parks and Recreation, Natural Heritage Program, Raleigh. 120 pp.
196477	Smith 1994b	Smith, S. 1994b. Ecological guide to eastside pine plant associations, northeastern California. R5-ECOL-TP-004. USDA Forest Service, Pacific Southwest Region, San Francisco, CA. 174 pp.
477780	Volland 1985	Volland, L. A. 1985. Plant associations of the central Oregon pumice zone. USDA Forest Service R6-ECOL-104-1985. Pacific Northwest Region, Portland, OR. 138 pp.
505311	McNeil 1975	McNeil, R .C. 1975. Vegetation and fire history of a ponderosa pine-white fir forest in Crater Lake National Park. M.S. thesis, Oregon State University, Corvallis.
182841	Chapman et al. 1989	Chapman, K. A., D. A. Albert, and G. A. Reese. 1989. Draft descriptions of Michigan's natural community types. Michigan Department of Natural Resources, Lansing, MI. 35 pp.
235202	Sperduto 2000c	Sperduto, D. D. 2000c. The vegetation of seasonally flooded sand plain wetlands in New Hampshire. MS thesis, University of New Hampshire, Concord, NH. 142 pp.
190119	Coles et al. 2003	Coles, J., M. Hansen, and K. Thomas. 2003. Wupatki National Monument, Arizona, vegetation classification and distribution: A USGS-NPS Vegetation Mapping Program study. Southwest Biological Science Center, U.S. Geological Survey Open-file Report. [in preparation]
194213	Fenemore 1970	Fenemore, R. M., Jr. 1970. Plant succession in a receding lake bed in the western Great Basin. Unpublished thesis, University of Nevada, Reno.
179815	Wieland 1994a	Wieland, R. G. 1994a. Marine and estuarine habitat types and associated ecological communities of the Mississippi Coast. Museum Technical Report 25. Mississippi Department of Wildlife, Fisheries, and Parks, Museum of Natural Science, Jackson, MS. 270 pp.
195875	Anderson and Davis 1997	Anderson, D. S., and R. B. Davis. 1997. The vegetation and its environment in Maine peatlands. Canadian Journal of Botany 75:1785-1805.
184573	Johnson and Muller 1993a	Johnson, A. F., and J. W. Muller. 1993a. An assessment of Florida's remaining coastal upland natural communities: Final summary report. The Nature Conservancy, Florida Natural Areas Inventory, Tallahassee. 37 pp.
200805	Cannon 1960	Cannon, H. L. 1960. The development of botanical methods of prospecting for uranium on the Colorado Plateau. USDI Geological Survey Bulletin 1085-A. Washington, DC. 50 pp.
178718	Walker and Brotherson 1982	Walker, G. R., and J. D. Brotherson. 1982. Habitat relationships of basin wildrye in the high mountain valleys of central Utah. Journal of Range Management 35(5):628-633.
183997	Larson and Moir 1986	Larson, M., and W. H. Moir. 1986. Forest and woodland habitat types (plant associations) of southern New Mexico and central Arizona (north of the Mogollon Rim). USDA Forest Service, Southwestern Region, Albuquerque, NM. 76 pp.
671253	Schulz 2004	Schulz, K. A. 2004. Vegetation classification of Buenos Aires National Wildlife Refuge, Arizona. Unpublished report submitted to USDI Fish and Wildlife Service. NatureServe, Western Regional Office, Boulder, CO.
175667	Wharton 1978	Wharton, C. H. 1978. The natural environments of Georgia. Georgia Department of Natural Resources, Atlanta. 227 pp.
189960	Major et al. 1999	Major, C. S., C. Bailey, J. Donaldson, R. McCoy, C. Nordman, M. Williams, and D. Withers. 1999. An ecological inventory of selected sites in the Cherokee National Forest. Cost Share Agreement #99-CCS-0804-001. Tennessee Department of Environment and Conservation, Tennessee Division of Natural Heritage, Nashville, TN.
753500	Glick et al. 2013	Glick, P., J. Clough, A. Polaczyk, B. Couvillion, and B. Nunley. 2013. Potential effects of sea-level rise on coastal wetlands in southeastern Louisiana. Journal of Coastal Research, Special Issue 63:211-233.
753554	Howard and Mendelssohn 1999	Howard R. J., and I. A. Mendelssohn. 1999. Salinity as a constraint on growth of oligohaline marsh macrophytes. I. Species variation in stress tolerance. American Journal of Botany 86(6):785-794.
754122	USGS 2013b	USGS [U.S. Geological Survey]. 2013b. Trends and causes of historical wetland loss in coastal Louisiana. Fact Sheet 2013-3017. U.S. Geological Survey. March 2013
188854	Stromberg 1993a	Stromberg, J. C. 1993a. Fremont cottonwood-Goodding willow riparian forests: A review of their ecology, threats, and recovery potential. Journal of the Arizona-Nevada Academy of Science 27(1):97-110.
191303	Mancuso and Moseley 1994	Mancuso, M., and R. Moseley. 1994. Vegetation description, rare plant inventory, and vegetation monitoring for Craig Mountain, Idaho. Unpublished report prepared for Bonneville Power Administration. 146 pp.
197538	Neiman 1987	Neiman, K. 1987. Inventory of Garden Creek Ranch conducted during summer of 1987. Report to The Nature Conservancy, Sun Valley, Idaho.
513306	Donnelly et al. 2006	Donnelly, P., D. Lindsey, E. Muldavin, Y. Chauvin, and A. Browder. 2006. Vegetation communities of Bosque del Apache National Wildlife Refuge. Prepared by U.S. Fish and Wildlife Service, National Wildlife Refuge Remote Sensing Lab, Albuquerque, NM, and Natural Heritage New Mexico, University of New Mexico, Albuquerque. Final report submitted to U.S. Fish and Wildlife Service, Southwest Region (R2), National Wildlife Refuge System (NWR), NWR Remote Sensing Lab, Division of Planning. 27 pp. [http://www.fws.gov/data/documents/BDA%20NVCS%20Veg%20Community%20Report%20Example.pdf]
191624	Terwilliger and Tiedemann 1978	Terwilliger, C., Jr., and J. A. Tiedemann. 1978. Habitat types of the mule deer critical winter range and adjacent steppe region of Middle Park, Colorado. Unpublished report prepared for USDA Forest Service, Rocky Mountain Forest and Range Experiment Station, Fort Collins, CO. 108 pp.
181130	Hunt 1999	Hunt, D. M. 1999. Natural community descriptions and specifications: Communities known or suspected from Adirondack Nature Conservancy. Unpublished report. New York Natural Heritage Program, Albany, NY. 272 pp.
179100	Hamel 1992	Hamel, P. B. 1992. The land manager's guide to the birds of the South. The Nature Conservancy, Southeast Regional Office, Chapel Hill, NC. 367 pp. plus appendices, computer disk.
182903	MacRoberts and MacRoberts 1991	MacRoberts, B. R., and M. H. MacRoberts. 1991. Floristics of three bogs in western Louisiana. Phytologia 70:135-141.
192906	Orzell 1990	Orzell, S. L., principal investigator. 1990. Texas Natural Heritage Program inventory of national forest and national grasslands in Texas. Texas Parks and Wildlife Department, Natural Heritage Program, Austin.
671238	Johnson and Swanson 2005	Johnson, C. G., Jr., and D. K. Swanson. 2005. Bunchgrass plant communities of the Blue and Ochoco Mountains: A guide for managers. General Technical Report PNW-GTR-641. USDA Forest Service, Pacific Northwest Research Station, Portland, OR. 119 pp.
197964	Von Loh et al. 1999	Von Loh, J., D. Cogan, D. Faber-Langendoen, D. Crawford, and M. Pucherelli. 1999. USGS-NPS Vegetation Mapping Program, Badlands National Park, South Dakota. USDI Bureau of Reclamation. Technical Memorandum No. 8260-99-02. Denver, CO.
180171	Peet and Christensen 1980	Peet, R. K., and N. L. Christensen. 1980. Hardwood forest vegetation of the North Carolina Piedmont. Veroffentlichungen des Geobotanischen Institutes der ETH, Stiftung Rubel 68:14-39.
340423	Lea 2003	Lea, C. 2003. Vegetation types in the National Capital Region Parks. Draft for review by NatureServe, Virginia Natural Heritage, West Virginia Natural Heritage, Maryland Natural Heritage, and National Park Service. March 2003. 140 pp.
463885	Ehrenfeld 1977	Ehrenfeld, J. G. 1977. Vegetation of Morristown National Historical Park: Ecological analysis and management alternatives. Final Report. USDI National Park Service Contract No. 1600-7-0004. 166 pp.
642231	Fleming 2007	Fleming, G. P. 2007. Ecological communities of the Potomac Gorge in Virginia: Composition, floristics, and environmental dynamics. Natural Heritage Technical Report 07-12. Unpublished report submitted to the National Park Service. Virginia Department of Conservation and Recreation, Division of Natural Heritage, Richmond. 341 pp. plus appendices.
951071	INHDC unpubl. data	INHDC [Indiana Natural Heritage Data Center]. No date. Indiana Natural Heritage Data Center, Division of Nature Preserves, Department of Natural Resources, Indianapolis.
180376	Lemaire 1961	Lemaire, R. J. 1961. A preliminary annotated checklist of the vascular plants of the marshes and included higher lands of St. Bernard Parish, Louisiana. Proceedings of the Louisiana Academy of Sciences 24:56-70.
192702	IDCDC unpubl. data	IDCDC [Idaho Conservation Data Center]. No date. Unpublished data on file at Idaho Conservation Data Center, Department of Fish and Game, Boise, ID.
469357	Seyer 1983	Seyer, S. C. 1983. Ecological analysis, Multorpor Fen Preserve, Oregon. The Nature Conservancy, Oregon Field Office, Portland. 28 pp.
185975	Tisdale 1979	Tisdale, E. W. 1979. A preliminary classification of Snake River Canyon grasslands in Idaho. Forestry, Wildlife, and Range Experiment Station Bulletin No. 32, University of Idaho, Moscow. 8 pp.
179112	Sperduto and Crowley 2002a	Sperduto, D. D., and K. F. Crowley. 2002a. Floodplain forests in New England: Analysis and proposed classification. In collaboration with natural heritage programs in Maine, Vermont, Massachusetts, Connecticut, and Rhode Island. New Hampshire Natural Heritage Inventory, DRED Division of Forests and Lands, Concord, NH. 19 pp. plus appendices.
201729	Dickson et al. 1993	Dickson, J. G., R. N. Conner, and J. H. Williamson. 1993. Breeding bird community changes in a developing pine plantation. Bird Populations 1:28-35.
181886	McCoy and Fleming 2000	McCoy, K. M., and G. P. Fleming. 2000. Ecological communities of U.S. Army Garrison, Fort Belvoir, Fort Belvoir, Virginia. Unpublished report submitted to the U.S. Army. Natural Heritage Technical Report 00-08. Virginia Department of Conservation and Recreation, Division of Natural Heritage, Richmond. 156 pp. plus appendices.
342664	Jones and Fertig 1999d	Jones, G. P., and W. Fertig. 1999d. Ecological evaluation of the potential Lake Creek Research Natural Area within the Shoshone National Forest, Park County, Wyoming. Prepared for the Shoshone National Forest, USDA Forest Service by the Wyoming Natural Diversity Database. 46 pp.
192978	Keeler-Wolf 1997	Keeler-Wolf, T. 1997. Preliminary table of Mojave Desert ecosystem vegetation types.
194118	Frenkel et al. 1984	Frenkel, R. E., S. N. Wickramarante, and E. F. Hienitz. 1984. Vegetation and land cover change in the Willamette River Greenway in Benton and Linn counties, Oregon: 1972-1981. Yearbook Association of Pacific Coast Geographers 46:63-77.
184019	Heinselman 1973	Heinselman, M. L. 1973. Fire in the virgin forests of the Boundary Waters Canoe Area, Minnesota. Journal of Quaternary Research 3:329-382.
182789	Moretti 1979	Moretti, M. C. 1979. Vegetation and soil factors in relation to slope position: A study of plant communities on foothill knolls in the Uintah Basin of Utah. Unpublished thesis, Brigham Young University, Provo. 31 pp.
193791	Kincaid 1959	Kincaid, D. R. 1959. The upper desert grassland of southern Arizona: A basic ecological analysis. Unpublished thesis, University of Arizona, Tucson. 38 pp.
629804	Whited pers. comm.	Whited, Mark. Personal communication. Consultant. Center for Remote Sensing and Mapping Science, University of Georgia, Athens.
190152	Ellison and Woolfolk 1937	Ellison, L., and E. J. Woolfolk, 1937. Effects of drought on vegetation near Miles City, Montana. Ecology 18:329-336.
188991	Western Resources Development Corporation n.d.c	Western Resources Development Corporation. No date (c). Caballo Mine Application No. 433-T2. On file at Wyoming Department of Environmental Quality, Land Quality Division, Cheyenne.
195311	Nelson and Ladd 1983	Nelson, P., and D. Ladd. 1983. Preliminary report on the identification, distribution and classification of Missouri glades. Pages 59-76 in: C. L. Kucera, editor. Proceedings of the Seventh North American Prairie Conference. Southwest Missouri State University, Springfield.
189454	Albert et al. 1995	Albert, D. A., P. J. Comer, R. A. Corner, D. Cuthrell, M. Penskar, and M. Rabe. 1995. Bedrock shoreline survey of the Niagaran Escarpment in Michigan's Upper Peninsula: Mackinac County to Delta County. Michigan Natural Features Inventory for Land and Water Management Division (grant # CD-0.02).
196265	Kelly and Larson 1997	Kelly, P. E., and D. W. Larson. 1997. Dendroecological analysis of the population dynamics of an old-growth forest on cliff-faces of the Niagara Escarpment, Canada. Journal of Ecology 85:467-478.
722171	Muldavin et al. 2012b	Muldavin, E., Y. Chauvin, P. Neville, T. Neville, L. Arnold, P. Arbetan, and A. Fettes. 2012b. A vegetation classification and map: Pecos National Historical Park. Natural Resource Technical Report NPS/SOPN/NRTR--2012/601. National Park Service, Fort Collins, CO.
185440	Beatley 1959	Beatley, J. C. 1959. The primeval forests of a periglacial area in the Allegheny Plateau. Bulletin of the Ohio Biological Survey New Series 1:1-182.
187254	Frost 1993	Frost, C. C. 1993. Four centuries of changing landscape patterns in the longleaf pine ecosystem. Pages 17-43 in: S. M. Hermann, editor. The longleaf pine ecosystem: Ecology, restoration and management. Proceedings of the 18th Tall Timbers Fire Ecology Conference. Tall Timbers Research Station, Tallahassee, FL. 418 pp.
199023	Malanson 1982	Malanson, G. P. 1982. The assembly of hanging gardens: Effects of age, area, and location. The American Naturalist 119:145-150.
650543	Cogan 2007a	Cogan, D. 2007a. Vegetation classification and mapping project report, Washita Battlefield National Historic Site. Natural Resource Technical Report NPS/SOPN/NRTR-2007/075. National Park Service, Southern Plains Inventory and Monitoring Network, Johnson City, TX. 128 pp.
197031	Stephenson and Clovis 1983	Stephenson, S. L., and J. F. Clovis. 1983. Spruce forests of the Allegheny Mountains in central West Virginia. Castanea 48:1-12.
187107	Tueller and Blackburn 1974	Tueller, P. T., and W. H. Blackburn. 1974. Condition and trend of the big sagebrush/needle-and-thread habitat type in Nevada. Journal of Range Management 27(1):36-40.
199156	Looman 1982	Looman, J. 1982. The vegetation of the Canadian prairie provinces. III. Aquatic and semi-aquatic vegetation, Part 2. Freshwater marshes and bogs. Phytocoenologia 10(4):401-423.
186053	Faden 1977	Faden, A. O. 1977. Vegetation zonation of a Mohave Desert playa. Unpublished thesis, University of Nevada, Las Vegas.
192370	Galloway 1964	Galloway, L. A. 1964. The vegetation of an actively eroding canyon in Canadian County, Oklahoma. Proceedings of the Oklahoma Academy of Science 45:20-23.
678077	Bourgeron et al. 1995b	Bourgeron, P. S., M. Jensen, L. Engelking, R. Everett, and H. Humphries. 1995b. Landscape ecology, conservation biology and principles of ecosystem management. Pages 41-47 in: Symposium proceedings of Ecosystem Management in Western Interior Forests, Department of Natural Resource Sciences, Washington State University, Pullman, WA.
505287	Mahony and Stuart 2000	Mahony, T. M., and J. D. Stuart. 2000. Old-growth forest associations in the northern range of coastal redwood. Madroño 47:53-60.
181098	Burt and Grossenheider 1980	Burt, W. H., and R. P. Grossenheider. 1980. A field guide to the mammals: Field marks of all North America species found north of Mexico. Third edition. The Peterson Field Guide Series No. 5. Houghton Mifflin Company, Boston. 289 pp. plus color plates.
184860	Anderson 1990a	Anderson, L. E. 1990a. A checklist of Sphagnum in North America north of Mexico. The Bryologist 93:500-501.
178091	Hall 1970	Hall, R. B. 1970. History of Hardin County, Illinois. Published by Ruby Franklin Hall, Carbondale. 99 pp.
183959	Jimerson et al. 1995	Jimerson, T. J., L. D. Hoover, E. A. McGee, G. DeNitto, and R. M. Creasy. 1995. A field guide to serpentine plant associations and sensitive plants in northwestern California. Technical Publication R5-ECOL-TP-006. USDA Forest Service, Pacific Southwest Region, San Francisco, CA.
192811	Omernik 1995	Omernik, J. M. 1995. Ecoregions: A framework for environmental management. Pages 49-62 in: W. S. Davis and T. P. Simon, editors. Biological assessment and criteria: Tools for water resource planning and decision making. Lewis Publishers, Boca Raton, FL.
197509	Berdine 1998	Berdine, M. A. 1998. Maryland vegetation classification. Maryland Department of Natural Resources, Annapolis, MD.
469356	Seyer 1981	Seyer, S. C. 1981. Survey of vegetation of 18 lakes in Wallowa-Whitman National Forest, Oregon. USDA Forest Service, Forest Sciences Laboratory, Corvallis, OR. 47 pp.
183930	Benedict 1977b	Benedict, J. B. 1977b. A master plan for the Bunker Hill Placer Preserve, Boulder County, Colorado. Unpublished report prepared for The Nature Conservancy, Denver, CO. 61 pp.
196544	Adams 1963	Adams, D. A. 1963. Factors influencing vascular plant zonation in North Carolina salt marshes. Ecology 44:445-456.
176191	Bourgeron et al. 1993a	Bourgeron, P. S., L. D. Engelking, H. C. Humphries, E. Muldavin, and W. H. Moir. 1993a. Assessing the conservation value of the Gray Ranch: Rarity, diversity and representativeness. Volume I. The Nature Conservancy, Western Heritage Task Force, Boulder, CO. 43 pp. plus appendices.
196086	Dickson and Segelquist 1978	Dickson, J. G., and C. A. Segelquist. 1978. Winter bird populations in pine and pine-hardwood forest stands in east Texas. Proceedings of the Annual Conference of the Southeastern Association of Fish and Wildlife Agencies 31:134-137.
722176	Lea et al. 2012	Lea, C., L. A. Sneddon, and E. Eastman. 2012. Vegetation classification and mapping at Thomas Stone National Historic Site, Maryland. Natural Resource Technical Report NPS/NER/NRTR--2012/550. National Park Service, Fort Collins, CO. 
196351	Caicco and Wellner 1983l	Caicco, S. L., and C. A. Wellner. 1983l. Research Natural Area recommendation for Antelope Flat. Unpublished report prepared for USDI, Bureau of Land Management, Salmon District, Idaho by Idaho Natural Areas Coordinating Committee. 12 pp.
657121	Erixson and Cogan 2009	Erixson, J. A., and D. Cogan. 2009. Vegetation classification and mapping: Hagerman Fossil Beds National Monument. Natural Resource Technical Report NPS/UCBN/NRTR--2009/212. National Park Service, Fort Collins, CO. 206 pp.
200338	Wolfe 1990	Wolfe, S. H., editor. 1990. An ecological characterization of the Florida Springs Coast: Pithlachascotee to Waccasassa rivers. USDI Fish & Wildlife Service, Biological Report 90(21). Slidell, LA. 323 pp.
177063	Parker 1982	Parker, K. 1982. Analysis of understory vegetation of a low elevation old growth forest in the Sandy River Gorge. Unpublished undergraduate thesis, Reed College, Portland, OR. 42 pp.
180190	Schlesinger et al. 1990	Schlesinger, W. H., J. F. Reynolds, G. L. Cunningham, L. F. Huenneke, W. M. Jarrell, R. A. Virginia, and W. G. Whitford. 1990. Biological feedbacks in global desertification. Science 247:1043-1048.
199512	Boule 1979	Boule, M. E. 1979. The vegetation of Fisherman Island, Virginia. Castanea 44:98-108.
513110	Francl 2003	Francl, K. E. 2003. Community characterization of high elevation Central Appalachian wetlands. Ph.D. disseration, University of Georgia, Athens.
179248	Dorroh 1971	Dorroh, R. J. 1971. The vegetation of Indian shell mounds and rings of the South Carolina coast. M.S. thesis, University of South Carolina, Columbia. 68 pp.
197836	Doyle et al. 1987	Doyle, K. M., T. J. Fahey, and R. D. Paratley. 1987. Subalpine heathlands of the Mahoosuc Range, Maine. Bulletin of the Torrey Botanical Club 114:429-436.
183793	Smith et al. 2000	Smith, S., D. Zollner, and S. Simon. 2000. Reassessment of Roaring Branch Research Natural Area. Unpublished technical report. The Nature Conservancy, Arkansas Field Office, Little Rock.
195757	Fountain and Sweeney 1985	Fountain, M. S., and J. M. Sweeney. 1985. Ecological assessment of the Roaring Branch Research Natural Area. Research Paper SO-213. USDA Forest Service, Southern Forest Experiment Station, New Orleans, LA. 15 pp.
193821	Johnson and Ware 1982	Johnson, G. G., and S. Ware. 1982. Post-chestnut forests in the central Blue Ridge of Virginia. Castanea 47:329-343.
469344	Howarth 1995	Howarth, J. 1995. Gearhart Bog Preserve: Plant community mapping and background information. The Nature Conservancy, Oregon Field Office, Portland. 36 pp. plus appendices.
193506	Moseley 1985	Moseley, R. K. 1985. Synecological relationships of alpine spike-fescue grasslands in east-central Idaho. Unpublished thesis, University of Idaho, Moscow. 70 pp.
201682	Gaertner 1955	Gaertner, F. 1955. Honeylocust (Gleditsia triacanthos L.) in field shelterbelts of western Oklahoma. Unpublished M.S. thesis, Oklahoma State University, Stillwater.
190585	Arno 1980	Arno, S. F. 1980. Forest fire history in the northern Rockies. Journal of Forestry 78(8):460-465.
200169	Bliss 1963	Bliss, L. C. 1963. Alpine plant communities of the Presidential Range, New Hampshire. Ecology 44:678-697.
187362	Henderson 1973	Henderson, J. A. 1973. Composition, distribution and succession of subalpine meadows in Mount Rainier National Park, Washington. Unpublished dissertation, Oregon State University, Corvallis. 150 pp.
215504	Marriott pers. comm.	Marriott, Hollis J. Personal communication. Former Heritage Botanist, WYNDD, and former Public Lands Coordinator, The Nature Conservancy. 655 N. Cedar, Laramie, WY 82070. (307) 721-4909.
468619	Anderson 2001a	Anderson, M. D. 2001a. Ceanothus velutinus. In: Fire Effects Information System [Online]. USDA Forest Service, Rocky Mountain Research Station, Fire Sciences Laboratory (Producer).[http://www.fs.fed.us/database/feis/] (accessed 26 April 2011).
177224	Rogers 1954	Rogers, C. M. 1954. Some botanical studies in the Black Mesa region of Oklahoma. Rhodora 56(670):205-212.
193624	Ellis et al. 1979	Ellis, S. L., T. Shoemaker, and R. Sanz. 1979. Inventories of plants, birds, mammals, reptiles, and amphibians of the Unaweep Canyon Springs, Mesa County, Colorado. Unpublished report prepared for Colorado Natural Areas Program, Department of Natural Resources, Denver.
469333	Bork 1978	Bork, J. L. 1978. A survey of the vascular plants and vertebrates of Upper Table Rock. M.S. thesis, Southern Oregon State College, Ashland. 91 pp.
177186	Andrews 1983	Andrews, T. 1983. Subalpine meadow and alpine vegetation of the upper Pecos River. Report RM-51. USDA Forest Service, Southwestern Region, Albuquerque, NM.
194112	Schlatterer 1972	Schlatterer, E. F. 1972. A preliminary description of plant communities found on the Sawtooth, White Cloud, Boulder, and Pioneer mountains. Unpublished report prepared for USDA Forest Service, Intermountain Region, Ogden, UT. 111 pp.
